gene,version,logFC,AveExpr,t,P.Value,adj.P.Val,significant,hgnc_symbol,description,gene_biotype
ENSG00000103495,13,5.323266813636217,8.62361270476452,33.230470758096395,6.715687504800675e-24,9.264290912872531e-20,TRUE,MAZ,MYC associated zinc finger protein [Source:HGNC Symbol;Acc:HGNC:6914],protein_coding
ENSG00000143319,16,5.4461589390348095,7.373142416758799,31.7880066635139,2.1865879987216155e-23,1.5081990721182343e-19,TRUE,ISG20L2,interferon stimulated exonuclease gene 20 like 2 [Source:HGNC Symbol;Acc:HGNC:25745],protein_coding
ENSG00000076604,14,5.098149758694207,7.016580140245829,27.997934841219195,6.305265065716428e-22,2.899371052718604e-18,TRUE,TRAF4,TNF receptor associated factor 4 [Source:HGNC Symbol;Acc:HGNC:12034],protein_coding
ENSG00000075618,17,4.118641940231795,8.219854186459653,26.162940309376708,3.753729809266623e-21,1.2945675679708267e-17,TRUE,FSCN1,fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148],protein_coding
ENSG00000109099,14,4.459168352813022,8.702855306636263,25.923337864478246,4.778935638858366e-21,1.318508342761023e-17,TRUE,PMP22,peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118],protein_coding
ENSG00000162599,15,3.8232784332306524,7.1103093356554865,21.69507250146705,4.931592568190565e-19,1.0666429005843392e-15,TRUE,NFIA,nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784],protein_coding
ENSG00000133466,13,4.900582365347459,7.035380818244658,21.617038032097668,5.41246850604594e-19,1.0666429005843392e-15,TRUE,C1QTNF6,C1q and TNF related 6 [Source:HGNC Symbol;Acc:HGNC:14343],protein_coding
ENSG00000188636,3,4.760144880375608,7.065083681928625,21.502525734147252,6.207479515511148e-19,1.0704022489559536e-15,TRUE,RTL6,retrotransposon Gag like 6 [Source:HGNC Symbol;Acc:HGNC:13343],protein_coding
ENSG00000163444,11,4.138422633352458,6.58885120734116,21.382723377384764,7.169451787360117e-19,1.0989176378514757e-15,TRUE,TMEM183A,transmembrane protein 183A [Source:HGNC Symbol;Acc:HGNC:20173],protein_coding
ENSG00000124702,17,4.24563717066914,7.224183366637491,21.287150688439084,8.0469401957157125e-19,1.1100753999989825e-15,TRUE,KLHDC3,kelch domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20704],protein_coding
ENSG00000142864,14,2.939514551009074,9.71007916846674,21.157056955308896,9.423432880128967e-19,1.18178415073981e-15,TRUE,SERBP1,SERPINE1 mRNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17860],protein_coding
ENSG00000198720,12,4.4938240845886295,5.718507848115148,21.06098454976707,1.0594941313830414e-18,1.2179767952024212e-15,TRUE,ANKRD13B,ankyrin repeat domain 13B [Source:HGNC Symbol;Acc:HGNC:26363],protein_coding
ENSG00000065970,8,4.203413068017425,6.344390885183745,20.929872496143265,1.2441601612699966e-18,1.3202453403630464e-15,TRUE,FOXJ2,forkhead box J2 [Source:HGNC Symbol;Acc:HGNC:24818],protein_coding
ENSG00000030110,12,4.639160678900227,5.586747063553465,20.825667989707913,1.4145411046188267e-18,1.3938281813011939e-15,TRUE,BAK1,BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949],protein_coding
ENSG00000135679,23,4.0777574613994165,7.30880906399266,20.519507586443197,2.069230163016195e-18,1.903002006587227e-15,TRUE,MDM2,MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973],protein_coding
ENSG00000173950,15,4.235001705048986,6.048549052082694,20.12093100692469,3.4210684690180806e-18,2.817280299654631e-15,TRUE,XXYLT1,xyloside xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26639],protein_coding
ENSG00000139372,14,4.458751059860374,6.274612603440732,20.10936267894953,3.4718205939926585e-18,2.817280299654631e-15,TRUE,TDG,thymine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:11700],protein_coding
ENSG00000168887,10,4.310298350834803,5.541839691162722,19.525003542610158,7.375932182553273e-18,5.6528324699068e-15,TRUE,C2orf68,chromosome 2 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:34353],protein_coding
ENSG00000163961,4,3.8840937652933425,5.924840766760235,18.94498843098292,1.5892551528087682e-17,1.1538828859472083e-14,TRUE,RNF168,ring finger protein 168 [Source:HGNC Symbol;Acc:HGNC:26661],protein_coding
ENSG00000158050,4,4.057980601529451,6.706735732614138,18.797195379175548,1.9388905159156397e-17,1.3373497333528124e-14,TRUE,DUSP2,dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068],protein_coding
ENSG00000143384,12,3.638625189214425,7.65148459629632,18.731256258158844,2.119685885159419e-17,1.3924317517035328e-14,TRUE,MCL1,"MCL1, BCL2 family apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:6943]",protein_coding
ENSG00000157514,16,3.82561025200706,6.310242557567215,18.440973167852047,3.1486915706786007e-17,1.9387819839608348e-14,TRUE,TSC22D3,TSC22 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:3051],protein_coding
ENSG00000151693,10,4.704249517661267,5.396946855051364,18.42185598559119,3.232474493011903e-17,1.9387819839608348e-14,TRUE,ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]",protein_coding
ENSG00000118515,11,3.243108849471815,8.789293465165143,18.312819349906135,3.7561324822101483e-17,2.1589936496703746e-14,TRUE,SGK1,serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810],protein_coding
ENSG00000112972,14,3.5213861708139644,7.101496063392803,18.225835352201326,4.236451357532204e-17,2.2550232240353913e-14,TRUE,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007],protein_coding
ENSG00000138594,13,3.2051018748369104,7.655193503295229,18.223509174019405,4.250134383828936e-17,2.2550232240353913e-14,TRUE,TMOD3,tropomodulin 3 [Source:HGNC Symbol;Acc:HGNC:11873],protein_coding
ENSG00000181274,6,4.723537121978534,5.154453431596679,18.045555688916416,5.4450821582512954e-17,2.7820336434472822e-14,TRUE,FRAT2,"FRAT2, WNT signaling pathway regulator [Source:HGNC Symbol;Acc:HGNC:16048]",protein_coding
